t	fg	fg	fg
0.771399999999931	0.258022602186382	0.391225643617249	0.12843811191284
0.771499999999931	0.258037549179248	0.391299790922679	0.128489068218282
0.771599999999931	0.258052493956596	0.391373935719141	0.128540022868042
0.771699999999931	0.258067436519321	0.391448078006363	0.128590975861199
0.771799999999931	0.258082376868319	0.391522217784073	0.128641927196835
0.771899999999931	0.258097315004483	0.391596355052	0.128692876874034
0.771999999999931	0.258112250928707	0.391670489809872	0.128743824891885
0.772099999999931	0.258127184641885	0.391744622057416	0.128794771249481
0.772199999999931	0.258142116144911	0.391818751794361	0.128845715945915
0.772299999999931	0.258157045438675	0.391892879020434	0.128896658980288
0.772399999999931	0.25817197252407	0.391967003735361	0.1289476003517
0.772499999999931	0.258186897401988	0.39204112593887	0.128998540059256
0.772599999999931	0.25820182007332	0.392115245630688	0.129049478102065
0.772699999999931	0.258216740538954	0.39218936281054	0.129100414479238
0.772799999999931	0.258231658799783	0.392263477478154	0.129151349189889
0.772899999999931	0.258246574856694	0.392337589633255	0.129202282233138
0.772999999999931	0.258261488710576	0.392411699275569	0.129253213608104
0.773099999999931	0.258276400362319	0.392485806404821	0.129304143313913
0.773199999999931	0.258291309812809	0.392559911020736	0.129355071349691
0.773299999999931	0.258306217062933	0.392634013123041	0.12940599771457
0.773399999999931	0.258321122113579	0.392708112711459	0.129456922407684
0.773499999999931	0.258336024965633	0.392782209785715	0.12950784542817
0.773599999999931	0.258350925619981	0.392856304345534	0.129558766775169
0.773699999999931	0.258365824077507	0.392930396390639	0.129609686447824
0.773799999999931	0.258380720339097	0.393004485920755	0.129660604445281
0.773899999999931	0.258395614405634	0.393078572935606	0.129711520766692
0.773999999999931	0.258410506278002	0.393152657434914	0.129762435411209
0.774099999999931	0.258425395957085	0.393226739418403	0.129813348377988
0.774199999999931	0.258440283443765	0.393300818885796	0.129864259666188
0.774299999999931	0.258455168738924	0.393374895836815	0.129915169274973
0.774399999999931	0.258470051843444	0.393448970271184	0.129966077203509
0.774499999999931	0.258484932758206	0.393523042188625	0.130016983450963
0.774599999999931	0.25849981148409	0.393597111588859	0.130067888016508
0.774699999999931	0.258514688021977	0.393671178471608	0.130118790899319
0.774799999999931	0.258529562372747	0.393745242836595	0.130169692098574
0.774899999999931	0.258544434537278	0.39381930468354	0.130220591613455
0.774999999999931	0.258559304516449	0.393893364012165	0.130271489443146
0.775099999999931	0.258574172311138	0.39396742082219	0.130322385586834
0.775199999999931	0.258589037922222	0.394041475113336	0.13037328004371
0.775299999999931	0.25860390135058	0.394115526885325	0.130424172812968
0.775399999999931	0.258618762597087	0.394189576137875	0.130475063893805
0.775499999999931	0.258633621662619	0.394263622870707	0.13052595328542
0.775599999999931	0.258648478548052	0.394337667083541	0.130576840987015
0.775699999999931	0.258663333254261	0.394411708776096	0.130627726997798
0.775799999999931	0.258678185782121	0.394485747948092	0.130678611316977
0.775899999999931	0.258693036132506	0.394559784599248	0.130729493943764
