t	Rg	Rg	Rg
1.87459999999981	7.67008877123174E-05	0.0014135285315645	0.00987875374077179
1.87469999999981	7.67015218209946E-05	0.00141357295808002	0.00987910316018452
1.87479999999981	7.67021559041838E-05	0.00141361737577103	0.00987945257985166
1.87489999999981	7.6702789961888E-05	0.00141366178463392	0.00987980199977527
1.87499999999981	7.67034239941105E-05	0.00141370618466504	0.00988015141995739
1.87509999999981	7.67040580008542E-05	0.00141375057586076	0.00988050084040006
1.87519999999981	7.67046919821223E-05	0.00141379495821747	0.00988085026110534
1.87529999999981	7.67053259379178E-05	0.00141383933173152	0.00988119968207526
1.87539999999981	7.67059598682439E-05	0.00141388369639929	0.00988154910331188
1.87549999999981	7.67065937731035E-05	0.00141392805221715	0.00988189852481723
1.87559999999981	7.67072276524998E-05	0.00141397239918148	0.00988224794659338
1.87569999999981	7.6707861506436E-05	0.00141401673728865	0.00988259736864235
1.87579999999981	7.67084953349149E-05	0.00141406106653503	0.0098829467909662
1.87589999999981	7.67091291379398E-05	0.00141410538691701	0.00988329621356697
1.87599999999981	7.67097629155137E-05	0.00141414969843097	0.0098836456364467
1.87609999999981	7.67103966676398E-05	0.00141419400107327	0.00988399505960745
1.87619999999981	7.67110303943209E-05	0.00141423829484031	0.00988434448305125
1.87629999999981	7.67116640955604E-05	0.00141428257972846	0.00988469390678016
1.87639999999981	7.67122977713612E-05	0.0014143268557341	0.00988504333079621
1.87649999999981	7.67129314217264E-05	0.00141437112285362	0.00988539275510145
1.87659999999981	7.67135650466591E-05	0.00141441538108341	0.00988574217969792
1.87669999999981	7.67141986461624E-05	0.00141445963041984	0.00988609160458768
1.87679999999981	7.67148322202393E-05	0.00141450387085931	0.00988644102977275
1.87689999999981	7.6715465768893E-05	0.0014145481023982	0.0098867904552552
1.87699999999981	7.67160992921265E-05	0.0014145923250329	0.00988713988103706
1.87709999999981	7.67167327899428E-05	0.00141463653875979	0.00988748930712037
1.87719999999981	7.67173662623451E-05	0.00141468074357528	0.00988783873350718
1.87729999999981	7.67179997093364E-05	0.00141472493947575	0.00988818816019953
1.87739999999981	7.67186331309199E-05	0.0014147691264576	0.00988853758719947
1.87749999999981	7.67192665270985E-05	0.00141481330451721	0.00988888701450904
1.87759999999981	7.67198998978753E-05	0.00141485747365098	0.00988923644213028
1.87769999999981	7.67205332432535E-05	0.00141490163385532	0.00988958587006524
1.87779999999981	7.6721166563236E-05	0.0014149457851266	0.00988993529831596
1.87789999999981	7.67217998578261E-05	0.00141498992746125	0.00989028472688448
1.87799999999981	7.67224331270266E-05	0.00141503406085564	0.00989063415577285
1.87809999999981	7.67230663708408E-05	0.00141507818530619	0.0098909835849831
1.87819999999981	7.67236995892716E-05	0.00141512230080929	0.00989133301451729
1.87829999999981	7.67243327823222E-05	0.00141516640736134	0.00989168244437745
1.87839999999981	7.67249659499955E-05	0.00141521050495876	0.00989203187456563
1.87849999999981	7.67255990922948E-05	0.00141525459359794	0.00989238130508386
1.87859999999981	7.6726232209223E-05	0.00141529867327529	0.00989273073593419
1.87869999999981	7.67268653007832E-05	0.00141534274398722	0.00989308016711867
1.87879999999981	7.67274983669785E-05	0.00141538680573013	0.00989342959863933
1.87889999999981	7.67281314078119E-05	0.00141543085850043	0.00989377903049822
1.87899999999981	7.67287644232866E-05	0.00141547490229454	0.00989412846269737
1.87909999999981	7.67293974134055E-05	0.00141551893710886	0.00989447789523884
1.87919999999981	7.67300303781718E-05	0.0014155629629398	0.00989482732812466
1.87929999999981	7.67306633175884E-05	0.00141560697978379	0.00989517676135687
1.87939999999981	7.67312962316586E-05	0.00141565098763723	0.00989552619493751
1.87949999999981	7.67319291203852E-05	0.00141569498649654	0.00989587562886863
1.87959999999981	7.67325619837715E-05	0.00141573897635814	0.00989622506315227
1.87969999999981	7.67331948218204E-05	0.00141578295721844	0.00989657449779047
1.87979999999981	7.6733827634535E-05	0.00141582692907387	0.00989692393278526
1.87989999999981	7.67344604219183E-05	0.00141587089192084	0.00989727336813869
1.87999999999981	7.67350931839735E-05	0.00141591484575577	0.0098976228038528
1.88009999999981	7.67357259207037E-05	0.00141595879057509	0.00989797223992964
1.88019999999981	7.67363586321117E-05	0.00141600272637523	0.00989832167637123
1.88029999999981	7.67369913182008E-05	0.00141604665315259	0.00989867111317963
1.88039999999981	7.67376239789739E-05	0.00141609057090362	0.00989902055035687
1.88049999999981	7.67382566144341E-05	0.00141613447962474	0.00989936998790499
1.88059999999981	7.67388892245845E-05	0.00141617837931238	0.00989971942582603
1.88069999999981	7.67395218094282E-05	0.00141622226996296	0.00990006886412204
1.88079999999981	7.67401543689681E-05	0.00141626615157291	0.00990041830279505
1.88089999999981	7.67407869032074E-05	0.00141631002413868	0.0099007677418471
1.88099999999981	7.67414194121491E-05	0.00141635388765668	0.00990111718128023
1.88109999999981	7.67420518957963E-05	0.00141639774212336	0.00990146662109648
1.88119999999981	7.67426843541519E-05	0.00141644158753515	0.00990181606129789
1.88129999999981	7.67433167872192E-05	0.00141648542388849	0.0099021655018865
1.88139999999981	7.6743949195001E-05	0.00141652925117981	0.00990251494286435
1.88149999999981	7.67445815775005E-05	0.00141657306940555	0.00990286438423347
