t	fd_A	fd_V
0.834099999999924	0.328131937310066	0.221673176277116	0.40465999999994
0.836099999999924	0.328952840689999	0.222491065344924	0.406189999999939
0.838099999999924	0.329760922555058	0.223298089447612	0.407719999999947
0.840099999999924	0.330576423931709	0.22411346521391	0.409259999999939
0.842099999999924	0.33139993309991	0.224938324863511	0.410789999999939
0.844099999999923	0.332213225493135	0.225754869445848	0.412319999999939
0.846099999999923	0.333016100427057	0.226562334240996	0.413849999999946
0.848099999999923	0.33382037285237	0.227372077735863	0.415389999999938
0.850099999999923	0.334632750331618	0.228191386898836	0.416919999999938
0.852099999999922	0.335442587490749	0.229009864864658	0.418449999999938
0.854099999999922	0.33625048203419	0.229827411934801	0.419979999999946
0.856099999999922	0.337066513291711	0.230654569625362	0.421519999999938
0.858099999999922	0.33788290188199	0.231483975371513	0.423049999999937
0.860099999999922	0.338689192347111	0.232304498274542	0.424579999999945
0.862099999999921	0.339484341971854	0.233114534292104	0.426119999999937
0.864099999999921	0.340287636328458	0.23393417574635	0.427649999999937
0.866099999999921	0.3410991005288	0.234763466307684	0.429179999999945
0.868099999999921	0.341897015930613	0.235580779286536	0.430719999999937
